name,remoteURL
RobotiumTech/robotium,https://github.com/RobotiumTech/robotium
RodneyShag/HackerRank_solutions,https://github.com/RodneyShag/HackerRank_solutions
Rukey7/MvpApp,https://github.com/Rukey7/MvpApp
SalomonBrys/ANR-WatchDog,https://github.com/SalomonBrys/ANR-WatchDog
Skykai521/ECTranslation,https://github.com/Skykai521/ECTranslation
Snailclimb/JavaGuide,https://github.com/Snailclimb/JavaGuide
Swagger2Markup/swagger2markup,https://github.com/Swagger2Markup/swagger2markup
TNG/ArchUnit,https://github.com/TNG/ArchUnit
TakahikoKawasaki/nv-websocket-client,https://github.com/TakahikoKawasaki/nv-websocket-client
Telegram-FOSS-Team/Telegram-FOSS,https://github.com/Telegram-FOSS-Team/Telegram-FOSS
Tencent/GT,https://github.com/Tencent/GT
Tencent/MSEC,https://github.com/Tencent/MSEC
Tencent/VasDolly,https://github.com/Tencent/VasDolly
Tencent/VasSonic,https://github.com/Tencent/VasSonic
Todd-Davies/ProgressWheel,https://github.com/Todd-Davies/ProgressWheel
TommyLemon/Android-ZBLibrary,https://github.com/TommyLemon/Android-ZBLibrary
UFreedom/FloatingView,https://github.com/UFreedom/FloatingView
Vedenin/useful-java-links,https://github.com/Vedenin/useful-java-links
VictorAlbertos/RxCache,https://github.com/VictorAlbertos/RxCache
WangShuo1143368701/WSLiveDemo,https://github.com/WangShuo1143368701/WSLiveDemo
WeBankFinTech/DataSphereStudio,https://github.com/WeBankFinTech/DataSphereStudio
WeiYe-Jing/datax-web,https://github.com/WeiYe-Jing/datax-web
WhatsApp/stickers,https://github.com/WhatsApp/stickers
WindySha/Xpatch,https://github.com/WindySha/Xpatch
Yalantis/StarWars.Android,https://github.com/Yalantis/StarWars.Android
ZHENFENG13/spring-boot-projects,https://github.com/ZHENFENG13/spring-boot-projects
ZhongFuCheng3y/austin,https://github.com/ZhongFuCheng3y/austin
a466350665/smart-sso,https://github.com/a466350665/smart-sso
ac-pm/Inspeckage,https://github.com/ac-pm/Inspeckage
ainilili/ratel,https://github.com/ainilili/ratel
airbnb/airpal,https://github.com/airbnb/airpal
airsonic/airsonic,https://github.com/airsonic/airsonic
aistrate/AlgorithmsSedgewick,https://github.com/aistrate/AlgorithmsSedgewick
akexorcist/BluetoothSPPLibrary,https://github.com/akexorcist/BluetoothSPPLibrary
alibaba/TProfiler,https://github.com/alibaba/TProfiler
alibaba/atlas,https://github.com/alibaba/atlas
alibaba/freeline,https://github.com/alibaba/freeline
alibaba/jstorm,https://github.com/alibaba/jstorm
alibaba/nacos,https://github.com/alibaba/nacos
alibaba/transmittable-thread-local,https://github.com/alibaba/transmittable-thread-local
amaembo/streamex,https://github.com/amaembo/streamex
amitshekhariitbhu/awesome-android-complete-reference,https://github.com/amitshekhariitbhu/awesome-android-complete-reference
amlcurran/ShowcaseView,https://github.com/amlcurran/ShowcaseView
andpor/react-native-sqlite-storage,https://github.com/andpor/react-native-sqlite-storage
android/testing-samples,https://github.com/android/testing-samples
android/views-widgets-samples,https://github.com/android/views-widgets-samples
androidannotations/androidannotations,https://github.com/androidannotations/androidannotations
androidquery/androidquery,https://github.com/androidquery/androidquery
antoniolg/androidmvp,https://github.com/antoniolg/androidmvp
apache/commons-lang,https://github.com/apache/commons-lang
apache/flume,https://github.com/apache/flume
apache/gobblin,https://github.com/apache/gobblin
apache/groovy,https://github.com/apache/groovy
apache/incubator-heron,https://github.com/apache/incubator-heron
apache/mahout,https://github.com/apache/mahout
apache/maven-mvnd,https://github.com/apache/maven-mvnd
apache/nifi,https://github.com/apache/nifi
apache/nutch,https://github.com/apache/nutch
apache/rocketmq-externals,https://github.com/apache/rocketmq-externals
apache/servicecomb-java-chassis,https://github.com/apache/servicecomb-java-chassis
apilayer/restcountries,https://github.com/apilayer/restcountries
arduino/Arduino,https://github.com/arduino/Arduino
armcha/Space-Navigation-View,https://github.com/armcha/Space-Navigation-View
artem-zinnatullin/qualitymatters,https://github.com/artem-zinnatullin/qualitymatters
asLody/SandHook,https://github.com/asLody/SandHook
atomashpolskiy/bt,https://github.com/atomashpolskiy/bt
aurelhubert/ahbottomnavigation,https://github.com/aurelhubert/ahbottomnavigation
awsdocs/aws-lambda-developer-guide,https://github.com/awsdocs/aws-lambda-developer-guide
azkaban/azkaban,https://github.com/azkaban/azkaban
baichengzhou/SpringMVC-Mybatis-Shiro-redis-0.2,https://github.com/baichengzhou/SpringMVC-Mybatis-Shiro-redis-0.2
balysv/material-menu,https://github.com/balysv/material-menu
baomidou/mybatis-plus-samples,https://github.com/baomidou/mybatis-plus-samples
beemdevelopment/Aegis,https://github.com/beemdevelopment/Aegis
bephrem1/backtobackswe,https://github.com/bephrem1/backtobackswe
bethrobson/Head-First-Design-Patterns,https://github.com/bethrobson/Head-First-Design-Patterns
bingoogolapple/BGABadgeView-Android,https://github.com/bingoogolapple/BGABadgeView-Android
bingoogolapple/BGABanner-Android,https://github.com/bingoogolapple/BGABanner-Android
bingoogolapple/BGASwipeBackLayout-Android,https://github.com/bingoogolapple/BGASwipeBackLayout-Android
bisq-network/bisq,https://github.com/bisq-network/bisq
bm-x/PhotoView,https://github.com/bm-x/PhotoView
bonnyfone/vectalign,https://github.com/bonnyfone/vectalign
boycy815/PinchImageView,https://github.com/boycy815/PinchImageView
btraceio/btrace,https://github.com/btraceio/btrace
buchen/portfolio,https://github.com/buchen/portfolio
bytedance/ByteX,https://github.com/bytedance/ByteX
bytedeco/javacpp-presets,https://github.com/bytedeco/javacpp-presets
bz51/SpringBoot-Dubbo-Docker-Jenkins,https://github.com/bz51/SpringBoot-Dubbo-Docker-Jenkins
cabaletta/baritone,https://github.com/cabaletta/baritone
caoxinyu/RedisClient,https://github.com/caoxinyu/RedisClient
card-io/card.io-Android-SDK,https://github.com/card-io/card.io-Android-SDK
careercup/ctci,https://github.com/careercup/ctci
castorflex/SmoothProgressBar,https://github.com/castorflex/SmoothProgressBar
cbeust/jcommander,https://github.com/cbeust/jcommander
chanjarster/weixin-java-tools,https://github.com/chanjarster/weixin-java-tools
chaychan/TouTiao,https://github.com/chaychan/TouTiao
