name,url
apple/darwin-xnu,https://github.com/apple/darwin-xnu
arendst/Tasmota,https://github.com/arendst/Tasmota
arut/nginx-rtmp-module,https://github.com/arut/nginx-rtmp-module
attractivechaos/klib,https://github.com/attractivechaos/klib
aubio/aubio,https://github.com/aubio/aubio
audacity/audacity,https://github.com/audacity/audacity
aws/s2n-tls,https://github.com/aws/s2n-tls
axboe/fio,https://github.com/axboe/fio
b4winckler/macvim,https://github.com/b4winckler/macvim
bartobri/no-more-secrets,https://github.com/bartobri/no-more-secrets
baskerville/bspwm,https://github.com/baskerville/bspwm
beanstalkd/beanstalkd,https://github.com/beanstalkd/beanstalkd
begeekmyfriend/leetcode,https://github.com/begeekmyfriend/leetcode
begeekmyfriend/yasea,https://github.com/begeekmyfriend/yasea
bellard/quickjs,https://github.com/bellard/quickjs
betaflight/betaflight,https://github.com/betaflight/betaflight
bingoogolapple/BGAQRCode-Android,https://github.com/bingoogolapple/BGAQRCode-Android
blender/blender,https://github.com/blender/blender
bytecodealliance/wasm-micro-runtime,https://github.com/bytecodealliance/wasm-micro-runtime
canonical/dqlite,https://github.com/canonical/dqlite
capstone-engine/capstone,https://github.com/capstone-engine/capstone
catboost/catboost,https://github.com/catboost/catboost
cesanta/mongoose,https://github.com/cesanta/mongoose
cfenollosa/os-tutorial,https://github.com/cfenollosa/os-tutorial
chrismaltby/gb-studio,https://github.com/chrismaltby/gb-studio
citusdata/citus,https://github.com/citusdata/citus
cjdelisle/cjdns,https://github.com/cjdelisle/cjdns
clibs/clib,https://github.com/clibs/clib
cloudius-systems/osv,https://github.com/cloudius-systems/osv
cloudwu/skynet,https://github.com/cloudwu/skynet
cmus/cmus,https://github.com/cmus/cmus
cmusphinx/pocketsphinx,https://github.com/cmusphinx/pocketsphinx
cockpit-project/cockpit,https://github.com/cockpit-project/cockpit
collectd/collectd,https://github.com/collectd/collectd
colmap/colmap,https://github.com/colmap/colmap
containers/bubblewrap,https://github.com/containers/bubblewrap
contiki-os/contiki,https://github.com/contiki-os/contiki
coolwanglu/vim.js,https://github.com/coolwanglu/vim.js
coreutils/coreutils,https://github.com/coreutils/coreutils
coturn/coturn,https://github.com/coturn/coturn
cstack/db_tutorial,https://github.com/cstack/db_tutorial
cuber/ngx_http_google_filter_module,https://github.com/cuber/ngx_http_google_filter_module
curl/curl,https://github.com/curl/curl
